frame_id,track_id,class_id,class_name,cx,cy,x1,y1,x2,y2,confidence,crossed
1,1,3,car,1428,748,1355,714,1501,783,0.7802,False
1,2,3,car,1205,748,1110,710,1300,787,0.7765,False
1,3,3,car,778,756,663,709,894,804,0.7735,False
1,4,3,car,307,751,122,657,493,845,0.7014,False
1,5,2,bicycle,35,780,0,737,71,824,0.3962,False
1,6,0,pedestrian,1313,979,1212,726,1415,1232,0.3157,False
1,7,9,motor,1765,915,1612,798,1918,1032,0.3132,False
2,2,3,car,1193,749,1101,712,1286,787,0.7941,False
2,3,3,car,771,754,651,705,892,804,0.7539,False
2,4,3,car,322,749,137,656,507,843,0.5474,False
2,5,2,bicycle,36,785,1,742,71,828,0.4524,False
2,7,9,motor,1773,910,1626,793,1920,1028,0.5412,False
3,2,3,car,1186,749,1092,711,1280,787,0.7908,False
3,3,3,car,762,757,645,709,879,805,0.7622,False
3,4,3,car,338,743,143,645,533,842,0.5249,False
3,5,2,bicycle,37,783,0,736,75,830,0.2540,False
4,2,3,car,1179,749,1087,712,1272,787,0.7939,False
4,3,3,car,749,757,635,710,864,804,0.7300,False
4,4,3,car,349,743,151,642,548,844,0.4149,False
4,1,3,car,1392,747,1312,709,1473,785,0.7129,False
5,2,3,car,1174,749,1080,711,1269,788,0.8013,False
5,3,3,car,733,755,619,709,848,802,0.7810,False
5,4,3,car,382,741,181,640,583,843,0.2601,False
5,13,2,bicycle,25,769,2,731,49,807,0.3223,False
5,1,3,car,1386,748,1306,711,1467,786,0.7355,False
6,2,3,car,1169,749,1076,711,1263,787,0.7734,False
6,3,3,car,719,755,603,708,836,803,0.7794,False
6,4,3,car,399,746,217,654,582,839,0.3799,False
6,13,2,bicycle,26,769,2,731,50,808,0.2730,False
6,1,3,car,1379,749,1299,712,1459,786,0.7759,False
7,2,3,car,1162,749,1069,712,1256,787,0.7769,False
7,3,3,car,705,757,591,710,819,804,0.7757,False
7,4,8,bus,372,741,177,645,568,838,0.4241,False
7,13,2,bicycle,26,771,2,733,50,810,0.3163,False
7,1,3,car,1372,749,1291,712,1454,787,0.7538,False
7,5,2,bicycle,39,777,4,735,74,820,0.3970,False
8,2,3,car,1156,749,1062,711,1250,787,0.7767,False
8,3,3,car,693,757,579,711,808,804,0.7875,False
8,4,8,bus,359,736,160,640,558,832,0.4299,False
8,13,2,bicycle,27,772,3,733,52,811,0.3474,False
8,1,3,car,1366,749,1284,712,1448,786,0.7512,False
8,5,2,bicycle,40,779,7,739,74,820,0.4147,False
9,2,3,car,1150,749,1058,712,1243,787,0.7875,False
9,3,3,car,685,759,570,712,801,806,0.6720,False
9,4,8,bus,357,739,145,639,569,839,0.4496,False
9,13,2,bicycle,30,775,4,732,57,818,0.3243,False
9,1,3,car,1361,748,1277,711,1445,786,0.7864,False
10,2,3,car,1146,748,1052,710,1240,787,0.7862,False
10,3,3,car,673,759,559,713,788,806,0.5963,False
10,13,2,bicycle,32,771,7,730,58,812,0.2784,False
10,1,3,car,1357,749,1271,711,1443,787,0.7813,False
11,2,3,car,1138,748,1044,710,1232,787,0.7930,False
11,3,3,car,668,758,557,713,779,804,0.6278,False
11,1,3,car,1353,749,1265,710,1442,788,0.7870,False
11,4,3,car,460,759,297,683,624,835,0.7605,False
12,2,3,car,1134,748,1039,710,1229,787,0.7993,False
12,3,3,car,657,759,545,713,770,806,0.5541,False
12,1,3,car,1350,749,1260,710,1440,788,0.8040,False
12,4,3,car,531,763,370,690,693,836,0.6073,False
13,2,3,car,1131,748,1037,710,1226,787,0.7922,False
13,1,3,car,1342,748,1252,710,1432,787,0.7994,False
13,4,3,car,553,758,380,681,727,836,0.4905,False
14,2,3,car,1123,749,1030,711,1217,787,0.7778,False
14,1,3,car,1335,749,1244,710,1426,788,0.7848,False
14,4,3,car,562,762,399,690,726,834,0.7379,False
15,2,3,car,1117,749,1024,711,1211,787,0.7800,False
15,1,3,car,1328,749,1238,711,1419,787,0.7931,False
15,4,3,car,565,764,405,693,726,835,0.7280,False
16,2,3,car,1112,749,1020,711,1204,787,0.7883,False
16,1,3,car,1323,748,1231,710,1415,787,0.7866,False
16,4,3,car,577,765,418,695,736,835,0.7487,False
17,2,3,car,1104,749,1011,711,1197,787,0.7790,False
17,1,3,car,1317,749,1225,711,1410,788,0.7923,False
17,4,3,car,592,766,437,698,748,834,0.7832,False
18,2,3,car,1097,749,1003,711,1192,788,0.7976,False
18,1,3,car,1311,749,1218,710,1405,788,0.8053,False
18,4,3,car,613,766,460,699,766,833,0.7851,False
18,21,3,car,115,752,4,684,226,821,0.4822,False
19,2,3,car,1092,748,998,710,1187,787,0.7847,False
19,1,3,car,1305,749,1213,711,1397,787,0.8057,False
19,4,3,car,623,765,472,700,775,831,0.7647,False
19,21,3,car,108,755,7,693,209,817,0.4659,False
20,2,3,car,1086,748,991,710,1181,787,0.7821,False
20,1,3,car,1297,750,1204,712,1391,788,0.7994,False
20,4,3,car,647,766,500,703,794,829,0.7899,False
20,21,3,car,96,758,1,700,191,816,0.5197,False
21,2,3,car,1079,748,985,710,1174,787,0.7719,False
21,1,3,car,1291,749,1195,710,1388,788,0.8006,False
21,4,3,car,664,765,516,702,812,829,0.7819,False
22,2,3,car,1075,748,981,710,1169,787,0.7800,False
22,1,3,car,1285,749,1188,710,1382,788,0.7903,False
22,4,3,car,684,764,536,701,832,828,0.7772,False
22,23,0,pedestrian,182,761,165,722,200,800,0.4671,False
23,2,3,car,1066,747,970,708,1163,787,0.7832,False
23,1,3,car,1278,748,1179,709,1377,788,0.7845,False
23,4,3,car,697,764,550,702,845,827,0.8109,False
23,23,0,pedestrian,183,761,166,722,201,800,0.2996,False
24,2,3,car,1060,748,963,708,1157,788,0.7725,False
24,1,3,car,1272,748,1173,708,1371,788,0.8085,False
24,4,3,car,717,764,572,702,863,826,0.8123,False
24,23,0,pedestrian,186,761,169,723,204,800,0.3377,False
25,2,3,car,1054,748,959,709,1150,788,0.7875,False
25,1,3,car,1265,748,1167,709,1363,788,0.7926,False
25,4,3,car,732,763,585,701,880,826,0.8174,False
25,23,0,pedestrian,188,761,171,724,205,799,0.3739,False
25,13,3,car,34,788,10,753,59,824,0.5480,False
25,3,4,van,437,756,293,697,582,815,0.5131,False
26,2,3,car,1046,749,950,709,1143,789,0.8089,False
26,1,3,car,1259,748,1158,707,1360,789,0.7967,False
26,4,3,car,747,762,598,698,897,826,0.8185,False
26,23,0,pedestrian,188,761,171,723,205,800,0.4479,False
26,33,0,pedestrian,158,760,142,721,174,799,0.4123,False
26,13,3,car,42,793,13,754,72,833,0.5345,False
26,3,4,van,425,755,278,695,573,816,0.5182,False
27,2,3,car,1040,748,943,708,1138,789,0.7977,False
27,1,3,car,1251,748,1148,707,1354,789,0.8028,False
27,4,3,car,764,761,617,699,912,824,0.8028,False
27,23,0,pedestrian,191,762,173,722,209,803,0.5047,False
27,33,0,pedestrian,159,760,143,721,175,799,0.3499,False
27,3,4,van,411,756,263,696,559,817,0.3757,False
27,36,0,pedestrian,234,764,219,728,250,800,0.3732,False
27,21,3,car,78,770,0,707,156,834,0.4664,False
28,2,3,car,1033,748,935,707,1132,789,0.7985,False
28,1,3,car,1244,748,1142,707,1347,789,0.7877,False
28,4,3,car,782,761,636,699,929,823,0.8101,False
28,23,0,pedestrian,194,762,177,722,212,802,0.4667,False
28,33,0,pedestrian,159,758,144,720,175,796,0.4332,False
28,3,3,car,392,758,247,700,537,817,0.5877,False
28,36,0,pedestrian,236,765,221,730,251,800,0.3431,False
28,21,3,car,76,780,0,720,153,841,0.4207,False
29,2,3,car,1027,749,927,707,1127,791,0.8021,False
29,1,3,car,1239,748,1136,707,1342,789,0.7990,False
29,4,3,car,801,758,651,695,951,822,0.7538,False
29,23,0,pedestrian,196,762,179,722,214,802,0.4316,False
29,3,3,car,378,761,236,704,520,818,0.5822,False
29,21,3,car,79,783,0,724,158,842,0.3440,False
30,2,3,car,1022,749,924,707,1121,791,0.7961,False
30,1,3,car,1230,749,1131,709,1330,789,0.8145,False
30,4,3,car,816,758,669,696,964,821,0.7711,False
30,23,0,pedestrian,198,761,181,721,216,801,0.4546,False
30,3,3,car,363,763,226,708,500,818,0.6366,False
31,2,3,car,1020,749,923,708,1117,791,0.7397,False
31,1,3,car,1224,749,1124,709,1324,789,0.8067,False
31,4,3,car,837,760,689,697,985,823,0.7429,True
31,3,3,car,346,763,208,709,485,818,0.5918,False
31,21,3,car,89,781,0,720,179,842,0.5508,False
32,2,3,car,1012,749,917,709,1107,790,0.7309,False
32,1,3,car,1216,749,1115,709,1318,790,0.8059,False
32,4,3,car,851,759,704,696,998,822,0.7683,False
32,3,3,car,334,763,192,707,476,819,0.5736,False
32,21,3,car,100,781,6,720,195,843,0.6651,False
33,2,3,car,1007,748,914,708,1101,789,0.6178,False
33,1,3,car,1208,749,1106,708,1311,790,0.7987,False
33,4,3,car,865,758,720,696,1011,821,0.7750,False
33,3,3,car,319,761,177,705,462,818,0.4413,False
33,21,3,car,113,783,15,721,211,846,0.6431,False
33,43,0,pedestrian,478,756,462,719,495,794,0.4235,False
34,2,3,car,1005,748,914,709,1096,788,0.4998,False
34,1,3,car,1201,748,1097,707,1306,790,0.7895,False
34,4,3,car,888,758,740,695,1036,821,0.7684,False
34,3,3,car,310,765,176,712,445,818,0.6873,False
34,21,3,car,122,783,21,721,223,845,0.4696,False
34,43,0,pedestrian,480,752,462,710,499,794,0.2861,False
35,1,3,car,1194,747,1089,706,1299,789,0.8061,False
35,4,3,car,913,755,758,689,1069,821,0.7964,False
35,3,3,car,310,765,183,714,438,816,0.6908,False
35,21,3,car,132,783,29,721,236,845,0.6677,False
35,43,0,pedestrian,482,754,465,716,499,793,0.3512,False
36,1,3,car,1186,748,1082,707,1291,790,0.7946,False
36,4,3,car,925,757,777,694,1073,820,0.8055,False
36,3,3,car,301,765,180,717,422,814,0.6603,False
36,21,3,car,142,781,34,719,251,844,0.7314,False
36,43,0,pedestrian,482,755,466,719,499,792,0.3840,False
37,1,3,car,1177,747,1071,705,1284,790,0.8075,False
37,4,3,car,936,758,793,697,1079,819,0.8225,False
37,3,3,car,287,765,170,718,404,813,0.3342,False
37,21,3,car,153,782,42,721,265,843,0.6676,False
37,43,0,pedestrian,484,756,469,721,500,792,0.5174,False
38,1,3,car,1170,748,1065,706,1276,790,0.7974,False
38,4,3,car,950,759,811,700,1090,819,0.7937,False
38,21,3,car,167,781,47,718,287,844,0.6773,False
38,43,0,pedestrian,485,757,470,722,501,792,0.3148,False
39,1,3,car,1174,748,1073,708,1275,789,0.7972,False
39,4,3,car,964,759,826,701,1103,818,0.7951,False
39,21,3,car,176,783,39,713,314,853,0.6928,False
40,1,3,car,1170,747,1073,708,1267,787,0.7818,False
40,4,3,car,980,759,843,701,1117,818,0.7741,False
40,21,3,car,184,786,39,714,329,859,0.7275,False
40,51,9,motor,630,763,600,735,660,792,0.3854,False
40,43,0,pedestrian,487,758,472,724,502,792,0.4053,False
41,1,3,car,1156,750,1055,709,1257,791,0.6669,False
41,4,3,car,994,758,854,699,1135,818,0.7323,False
41,51,9,motor,631,764,602,736,661,793,0.4312,False
41,43,0,pedestrian,488,758,474,725,503,792,0.4581,False
42,1,3,car,1148,751,1045,709,1252,794,0.6737,False
42,4,3,car,1016,758,873,698,1159,818,0.7105,False
42,51,9,motor,633,765,603,736,663,794,0.3079,False
42,43,0,pedestrian,490,758,476,725,505,791,0.2631,False
42,21,3,car,203,767,21,677,386,857,0.5395,False
43,1,3,car,1143,751,1043,710,1243,793,0.4075,False
43,4,3,car,1057,759,913,699,1202,819,0.7612,False
43,43,0,pedestrian,491,757,477,725,505,790,0.3864,False
43,21,3,car,214,766,29,677,399,856,0.3304,False
44,4,3,car,1071,760,928,701,1215,819,0.8007,False
44,43,0,pedestrian,491,757,477,724,506,791,0.5015,False
44,21,4,van,226,753,10,648,443,858,0.3519,False
44,2,3,car,924,743,805,691,1043,795,0.3888,False
44,51,9,motor,638,765,609,737,667,793,0.3844,False
