epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.3858,1.85655,7.98473,1.10057,0.32711,0.13327,0.0756,0.03891,1.79651,5.21887,1.03213,0.000497537,0.000497537,0.0507438
2,131.8,1.76339,5.29766,1.03841,0.18926,0.1836,0.11643,0.0596,1.74137,4.44718,1.0007,0.000964618,0.000964618,0.00121092
3,183.89,1.69812,4.60519,1.00113,0.33065,0.20918,0.14439,0.07667,1.68277,4.15762,0.97631,0.000934,0.000934,0.000934
4,237.727,1.66065,4.30913,0.97946,0.29205,0.22882,0.17149,0.09227,1.65104,3.99748,0.96511,0.000901,0.000901,0.000901
5,297.336,1.63353,4.138,0.96666,0.31621,0.22395,0.17513,0.09307,1.68574,3.94519,0.95997,0.000868,0.000868,0.000868
6,351.31,1.61598,4.01209,0.95863,0.30579,0.24104,0.19665,0.10673,1.6122,3.78117,0.94915,0.000835,0.000835,0.000835
7,406.299,1.59997,3.90354,0.95465,0.33328,0.24421,0.2002,0.10875,1.60416,3.75373,0.94792,0.000802,0.000802,0.000802
8,460.516,1.58954,3.83816,0.9483,0.34266,0.25275,0.21107,0.11482,1.60575,3.68378,0.94338,0.000769,0.000769,0.000769
9,515.979,1.58087,3.77509,0.94555,0.33218,0.25583,0.21132,0.11397,1.59604,3.66205,0.94612,0.000736,0.000736,0.000736
10,567.38,1.56791,3.70806,0.94285,0.33303,0.26099,0.21784,0.11862,1.58445,3.60082,0.94038,0.000703,0.000703,0.000703
11,624.424,1.56094,3.65709,0.93983,0.34728,0.26798,0.22077,0.12041,1.57285,3.57731,0.93636,0.00067,0.00067,0.00067
12,675.037,1.55363,3.61453,0.93767,0.36332,0.25889,0.22506,0.12111,1.577,3.5693,0.93555,0.000637,0.000637,0.000637
13,730.988,1.54884,3.57871,0.93535,0.34685,0.26735,0.22013,0.12095,1.57264,3.58046,0.93317,0.000604,0.000604,0.000604
14,782.639,1.5438,3.54391,0.93391,0.35671,0.26628,0.22874,0.12413,1.56448,3.53611,0.93211,0.000571,0.000571,0.000571
15,834.464,1.53569,3.50206,0.9317,0.36122,0.26143,0.22202,0.12029,1.59031,3.56252,0.93874,0.000538,0.000538,0.000538
16,890.219,1.534,3.47964,0.93085,0.36746,0.2684,0.23388,0.12546,1.5627,3.5196,0.9315,0.000505,0.000505,0.000505
17,947.46,1.52633,3.44746,0.92931,0.3702,0.26916,0.23471,0.12728,1.56203,3.48474,0.93203,0.000472,0.000472,0.000472
18,999.536,1.52251,3.41962,0.92794,0.35895,0.27388,0.23191,0.12681,1.5511,3.48612,0.93028,0.000439,0.000439,0.000439
19,1049.92,1.51859,3.3997,0.92674,0.36003,0.27763,0.23355,0.12682,1.55964,3.49297,0.9296,0.000406,0.000406,0.000406
20,1099.01,1.51294,3.3766,0.92624,0.37585,0.2734,0.23947,0.12994,1.5504,3.45032,0.93023,0.000373,0.000373,0.000373
21,1153.72,1.51239,3.35349,0.92472,0.37671,0.27738,0.23768,0.12971,1.54918,3.46864,0.92903,0.00034,0.00034,0.00034
22,1203.06,1.50535,3.33885,0.92377,0.35618,0.27666,0.23771,0.13008,1.54194,3.45959,0.92754,0.000307,0.000307,0.000307
23,1253.38,1.50766,3.32199,0.92402,0.3693,0.281,0.24003,0.12998,1.54411,3.4435,0.92871,0.000274,0.000274,0.000274
24,1304.83,1.50132,3.30486,0.92222,0.35734,0.28172,0.23977,0.13084,1.5472,3.44098,0.9265,0.000241,0.000241,0.000241
25,1355.2,1.50095,3.29454,0.92188,0.37854,0.27585,0.24386,0.13301,1.54214,3.42549,0.92854,0.000208,0.000208,0.000208
26,1409.55,1.49876,3.27834,0.92132,0.36434,0.27825,0.24253,0.13302,1.53372,3.41659,0.92514,0.000175,0.000175,0.000175
27,1455.26,1.49433,3.26115,0.92093,0.37466,0.27808,0.24087,0.1317,1.54059,3.43355,0.92594,0.000142,0.000142,0.000142
28,1505.96,1.4932,3.25755,0.9201,0.36768,0.28186,0.24218,0.1319,1.54191,3.429,0.92596,0.000109,0.000109,0.000109
29,1556.28,1.48995,3.24309,0.91912,0.37255,0.2778,0.24168,0.1316,1.54025,3.42482,0.92626,7.6e-05,7.6e-05,7.6e-05
30,1603.16,1.48521,3.23119,0.91924,0.36596,0.28209,0.24197,0.13209,1.53678,3.41908,0.92562,4.3e-05,4.3e-05,4.3e-05
