epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.708,2.6336,11.9345,0.00791,0.14446,0.17125,0.08523,0.03574,2.41619,9.47691,0.00496,0.000499074,0.000499074,0.0672275
2,369.819,2.62422,9.93288,0.00736,0.25157,0.18662,0.13756,0.06901,2.28316,8.02252,0.00424,0.000979292,0.000979292,0.0343744
3,527.268,2.58897,9.26778,0.00708,0.35198,0.20344,0.14992,0.07218,2.34214,8.01639,0.00441,0.00143971,0.00143971,0.00150144
4,674.404,2.58989,8.91782,0.00661,0.311,0.21259,0.17501,0.0898,2.21694,7.32117,0.00409,0.0014109,0.0014109,0.0014109
5,808.91,2.54195,8.52278,0.00663,0.31897,0.21503,0.17447,0.08297,2.29429,7.49151,0.0043,0.0013812,0.0013812,0.0013812
6,955.65,2.51579,8.38576,0.00635,0.32931,0.2357,0.19168,0.09762,2.22415,7.19273,0.00409,0.0013515,0.0013515,0.0013515
7,1101.62,2.44636,8.11178,0.0053,0.37607,0.21853,0.19733,0.10436,2.22032,7.49394,0.00401,0.0013218,0.0013218,0.0013218
8,1282.57,2.5202,8.08603,0.00659,0.3324,0.24588,0.21184,0.10728,2.2067,6.99822,0.00397,0.0012921,0.0012921,0.0012921
9,1426.31,2.42837,7.82625,0.00555,0.36307,0.26503,0.22315,0.10905,2.21942,6.86007,0.00417,0.0012624,0.0012624,0.0012624
10,1562.1,2.50565,7.88096,0.00598,0.33625,0.25777,0.2219,0.11489,2.16073,6.83536,0.00383,0.0012327,0.0012327,0.0012327
11,1713.06,2.46293,7.77969,0.00602,0.38041,0.25983,0.22904,0.1194,2.19414,6.82224,0.00401,0.001203,0.001203,0.001203
12,1845.95,2.44641,7.66295,0.00543,0.37399,0.26972,0.23682,0.12505,2.1381,6.63068,0.0038,0.0011733,0.0011733,0.0011733
13,1997.02,2.45929,7.61206,0.00601,0.3522,0.24608,0.2132,0.11253,2.19197,7.06222,0.00394,0.0011436,0.0011436,0.0011436
14,2136.53,2.43058,7.57924,0.00581,0.39273,0.26178,0.23917,0.12609,2.15884,6.76098,0.00384,0.0011139,0.0011139,0.0011139
15,2290.8,2.42137,7.48574,0.00556,0.37216,0.27254,0.243,0.12437,2.14855,6.65834,0.00393,0.0010842,0.0010842,0.0010842
16,2425.64,2.39341,7.39368,0.00517,0.38431,0.27119,0.24645,0.13104,2.11342,6.6825,0.00379,0.0010545,0.0010545,0.0010545
17,2560.44,2.42874,7.3728,0.0058,0.39125,0.28438,0.25619,0.1323,2.15166,6.5371,0.00389,0.0010248,0.0010248,0.0010248
18,2697.12,2.42751,7.34346,0.00543,0.39481,0.26669,0.24735,0.12838,2.15381,6.71464,0.00388,0.0009951,0.0009951,0.0009951
19,2834.01,2.36223,7.22575,0.00513,0.40276,0.29466,0.26009,0.14006,2.0647,6.35419,0.00362,0.0009654,0.0009654,0.0009654
20,2974.26,2.41245,7.29804,0.00599,0.40741,0.28392,0.25901,0.13534,2.12618,6.4648,0.00385,0.0009357,0.0009357,0.0009357
21,3112.2,2.41221,7.26673,0.0059,0.41024,0.28967,0.2661,0.14364,2.07263,6.31189,0.00363,0.000906,0.000906,0.000906
22,3259.87,2.44356,7.24682,0.00595,0.3798,0.28933,0.25635,0.13652,2.10695,6.4332,0.00375,0.0008763,0.0008763,0.0008763
23,3402.12,2.37442,7.14029,0.00547,0.38618,0.30035,0.26708,0.14201,2.09613,6.35826,0.00371,0.0008466,0.0008466,0.0008466
24,3539.27,2.40161,7.1385,0.00546,0.41105,0.29009,0.26971,0.14849,2.06243,6.35441,0.00359,0.0008169,0.0008169,0.0008169
25,3690.31,2.33541,7.07455,0.00522,0.40648,0.29272,0.26873,0.14331,2.08612,6.3414,0.00367,0.0007872,0.0007872,0.0007872
26,3849.99,2.38814,7.06263,0.0051,0.40513,0.29333,0.27118,0.14795,2.05699,6.35156,0.00359,0.0007575,0.0007575,0.0007575
27,4003.21,2.36677,7.01432,0.00552,0.40619,0.29636,0.27152,0.14533,2.08229,6.32373,0.00367,0.0007278,0.0007278,0.0007278
28,4137.08,2.34856,6.98909,0.00516,0.41304,0.29907,0.27588,0.14554,2.08494,6.31569,0.00372,0.0006981,0.0006981,0.0006981
29,4308.96,2.38179,7.0434,0.0056,0.41747,0.30363,0.27887,0.14878,2.06909,6.24794,0.00367,0.0006684,0.0006684,0.0006684
30,4459.92,2.28424,6.82853,0.00512,0.42939,0.30783,0.28596,0.15526,2.04698,6.15157,0.00357,0.0006387,0.0006387,0.0006387
31,4596.02,2.35498,6.94626,0.00527,0.42321,0.29993,0.28334,0.15247,2.05192,6.27227,0.00363,0.000609,0.000609,0.000609
32,4755.11,2.31935,6.87732,0.00482,0.42583,0.30576,0.285,0.15167,2.06458,6.23432,0.00363,0.0005793,0.0005793,0.0005793
33,4890.19,2.32996,6.85189,0.00506,0.41811,0.3008,0.2775,0.1485,2.0851,6.33337,0.00368,0.0005496,0.0005496,0.0005496
34,5057.52,2.37171,6.89827,0.00565,0.42038,0.3084,0.2876,0.15511,2.04487,6.20805,0.00357,0.0005199,0.0005199,0.0005199
35,5204.21,2.31629,6.82574,0.00508,0.42509,0.31746,0.29264,0.158,2.0516,6.09304,0.00361,0.0004902,0.0004902,0.0004902
36,5340.15,2.34885,6.79594,0.00543,0.43319,0.30842,0.29071,0.15654,2.04773,6.18074,0.00358,0.0004605,0.0004605,0.0004605
37,5473.28,2.35638,6.8273,0.00509,0.42543,0.30926,0.28764,0.15577,2.04882,6.14936,0.00358,0.0004308,0.0004308,0.0004308
38,5607.8,2.30472,6.70454,0.00517,0.42847,0.31844,0.29615,0.15967,2.04415,6.09884,0.00358,0.0004011,0.0004011,0.0004011
39,5747.9,2.32814,6.74345,0.0052,0.43067,0.31119,0.29055,0.15706,2.04773,6.15333,0.00361,0.0003714,0.0003714,0.0003714
40,5890.97,2.30846,6.67931,0.00522,0.43046,0.32057,0.30019,0.16259,2.02583,6.04382,0.00353,0.0003417,0.0003417,0.0003417
41,6014.77,2.28943,6.33923,0.00529,0.42491,0.31217,0.29073,0.15535,2.05964,6.18964,0.00365,0.000312,0.000312,0.000312
42,6140.88,2.28687,6.27899,0.00518,0.42875,0.30814,0.29152,0.15505,2.06095,6.19903,0.00367,0.0002823,0.0002823,0.0002823
43,6285.15,2.24438,6.20941,0.00491,0.43648,0.32034,0.29849,0.16183,2.02947,6.05977,0.00356,0.0002526,0.0002526,0.0002526
44,6409.91,2.23805,6.17532,0.0046,0.4351,0.31649,0.29757,0.16168,2.02933,6.0817,0.00357,0.0002229,0.0002229,0.0002229
45,6539.76,2.20919,6.12091,0.00441,0.43997,0.32419,0.30225,0.1634,2.02476,6.03388,0.00355,0.0001932,0.0001932,0.0001932
46,6669.84,2.19899,6.10648,0.00456,0.4371,0.3217,0.30195,0.16319,2.02654,6.02273,0.00355,0.0001635,0.0001635,0.0001635
47,6805.06,2.20153,6.08738,0.00441,0.43924,0.32521,0.30387,0.16618,2.01418,5.99141,0.0035,0.0001338,0.0001338,0.0001338
48,6945.89,2.22701,6.11956,0.00479,0.43656,0.33103,0.30538,0.16746,2.00733,5.95742,0.00348,0.0001041,0.0001041,0.0001041
49,7071.61,2.16808,6.03826,0.00407,0.43505,0.32588,0.30343,0.16584,2.01557,5.9951,0.0035,7.44e-05,7.44e-05,7.44e-05
50,7195.52,2.21303,6.07545,0.00446,0.43866,0.32464,0.30552,0.16685,2.00865,5.97864,0.00349,4.47e-05,4.47e-05,4.47e-05
