epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.044,1.5213,5.34219,1.01246,0.33653,0.26783,0.21815,0.12475,1.4436,3.44806,0.93517,0.000498765,0.000498765,0.0506222
2,204.019,1.40684,3.41311,0.9457,0.39756,0.30327,0.27047,0.15594,1.39343,3.12774,0.91603,0.00097899,0.00097899,0.00110245
3,303.982,1.37361,3.09417,0.92439,0.42347,0.33948,0.30453,0.17526,1.37046,2.96895,0.90206,0.0009604,0.0009604,0.0009604
4,403.716,1.34648,2.90026,0.91425,0.44261,0.35322,0.32782,0.18882,1.34507,2.87777,0.89384,0.0009406,0.0009406,0.0009406
5,503.694,1.33026,2.78386,0.90813,0.45626,0.34732,0.33123,0.19083,1.34584,2.83629,0.89229,0.0009208,0.0009208,0.0009208
6,603.454,1.32733,2.71565,0.90219,0.46619,0.35871,0.34179,0.19839,1.33247,2.80355,0.8886,0.000901,0.000901,0.000901
7,704.216,1.31294,2.65546,0.90128,0.46851,0.37065,0.35081,0.20402,1.32376,2.78104,0.88672,0.0008812,0.0008812,0.0008812
8,803.942,1.30066,2.59233,0.89737,0.47577,0.37853,0.35366,0.20453,1.32442,2.7667,0.88594,0.0008614,0.0008614,0.0008614
9,904.119,1.3002,2.5469,0.89413,0.48236,0.37505,0.35899,0.20831,1.31805,2.76727,0.88359,0.0008416,0.0008416,0.0008416
10,1003.63,1.28616,2.50667,0.89234,0.47831,0.37849,0.36218,0.21227,1.31644,2.72662,0.88455,0.0008218,0.0008218,0.0008218
11,1103.56,1.28268,2.4844,0.89008,0.49583,0.37794,0.3661,0.21188,1.31353,2.71388,0.88465,0.000802,0.000802,0.000802
12,1202.77,1.27801,2.44876,0.88795,0.49515,0.38481,0.36767,0.21338,1.30901,2.71442,0.88352,0.0007822,0.0007822,0.0007822
13,1302.69,1.27321,2.4084,0.8884,0.49771,0.38728,0.37031,0.21489,1.3095,2.7138,0.88243,0.0007624,0.0007624,0.0007624
14,1403.22,1.26676,2.37485,0.88844,0.50269,0.38337,0.36815,0.21477,1.30763,2.69762,0.8821,0.0007426,0.0007426,0.0007426
15,1502.13,1.26834,2.35935,0.88554,0.50807,0.38948,0.37371,0.21695,1.30282,2.68882,0.88003,0.0007228,0.0007228,0.0007228
16,1601.53,1.25342,2.32642,0.88371,0.49242,0.39748,0.37456,0.21665,1.30391,2.69385,0.88175,0.000703,0.000703,0.000703
17,1700.57,1.25472,2.30107,0.88311,0.50669,0.39215,0.37675,0.21957,1.30177,2.67734,0.88017,0.0006832,0.0006832,0.0006832
18,1800.03,1.2541,2.28716,0.88198,0.50058,0.39212,0.37935,0.22074,1.30252,2.68584,0.8822,0.0006634,0.0006634,0.0006634
19,1899.41,1.2462,2.25485,0.88047,0.50443,0.38823,0.37593,0.21816,1.30271,2.68351,0.88119,0.0006436,0.0006436,0.0006436
20,1998.07,1.24344,2.23142,0.88093,0.51439,0.39115,0.37954,0.22012,1.30138,2.69035,0.88112,0.0006238,0.0006238,0.0006238
21,2097.03,1.24532,2.23017,0.87979,0.50904,0.38754,0.37769,0.21923,1.29949,2.68604,0.8808,0.000604,0.000604,0.000604
22,2195.55,1.23664,2.19777,0.878,0.49805,0.39345,0.37429,0.21708,1.30194,2.70002,0.88121,0.0005842,0.0005842,0.0005842
23,2294.27,1.23073,2.17373,0.87625,0.49928,0.39517,0.37891,0.22013,1.29209,2.68351,0.87898,0.0005644,0.0005644,0.0005644
24,2392.83,1.22676,2.15238,0.87672,0.50264,0.38981,0.37768,0.22003,1.29537,2.68571,0.87919,0.0005446,0.0005446,0.0005446
25,2491.62,1.22503,2.13327,0.87661,0.50792,0.40126,0.38101,0.22199,1.29641,2.68235,0.87911,0.0005248,0.0005248,0.0005248
26,2592.19,1.22196,2.11949,0.87534,0.51346,0.39244,0.38017,0.22083,1.30167,2.69361,0.88035,0.000505,0.000505,0.000505
27,2691.07,1.21979,2.10878,0.87434,0.50612,0.38931,0.37732,0.21954,1.30428,2.71156,0.88146,0.0004852,0.0004852,0.0004852
