epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,263.071,2.02859,6.99979,1.0761,0.35547,0.24513,0.20214,0.10262,1.69126,5.10092,1.05949,0.000499537,0.000499537,0.0671971
2,499.416,2.0806,6.60596,1.08639,0.39777,0.23899,0.2105,0.11103,1.68646,5.11783,1.05002,0.000979746,0.000979746,0.034344
3,732.076,2.04505,6.25983,1.07468,0.3715,0.28142,0.23767,0.126,1.63968,4.85054,1.03722,0.00144015,0.00144015,0.00147105
4,968.08,1.9789,5.9337,1.0611,0.3975,0.30286,0.26674,0.14219,1.58867,4.69742,1.01973,0.0014109,0.0014109,0.0014109
5,1196.99,1.9399,5.71111,1.04464,0.43475,0.32272,0.30244,0.16344,1.56065,4.50077,1.01274,0.0013812,0.0013812,0.0013812
6,1424.46,1.92212,5.51613,1.03159,0.407,0.32983,0.28942,0.15588,1.54547,4.44197,0.99952,0.0013515,0.0013515,0.0013515
7,1655.04,1.90718,5.41751,1.02175,0.41921,0.33822,0.30707,0.16889,1.51475,4.37503,0.99549,0.0013218,0.0013218,0.0013218
8,1882.05,1.85884,5.26592,1.016,0.46636,0.34225,0.3303,0.17963,1.52155,4.26852,0.99328,0.0012921,0.0012921,0.0012921
9,2104.15,1.8867,5.27083,1.0053,0.45988,0.35461,0.33888,0.18065,1.54998,4.2261,0.9951,0.0012624,0.0012624,0.0012624
10,2336.45,1.8349,5.12377,1.00878,0.45733,0.35444,0.33487,0.18263,1.52949,4.20671,0.98947,0.0012327,0.0012327,0.0012327
11,2558.24,1.88443,5.12901,0.99568,0.48702,0.3666,0.35384,0.19405,1.4986,4.06923,0.98175,0.001203,0.001203,0.001203
12,2791,1.86943,5.09817,0.99782,0.48386,0.37165,0.3624,0.19868,1.47822,4.0398,0.97648,0.0011733,0.0011733,0.0011733
